index,answer,prediction
0,Back to School,Back to School
1,ABCDEFGHI JKLMNOPQR STUVWXYZ 1234567890,ABCDEFGHI JKLMNOPOR STUVWXYZ 1234567890
2,Progimp.ru,Progimp.ru
3,я школу!,UKOJM
4,С ДНЕМ ЗНАНИЙ!,CDHEM 3HAHWW!
5,Pizza,Pizza 
6,much wine?,much WINE?
7,back to chool!,BACK TO SCHOOL!
8,APRiL IS CHiLD ABUSE PREVENTION MONTH,米 APRILIS CHiLD ABUSE PREVENTION MONTH 米
9,"ПРАВИЛА 
 НАШЕЙ 
 СЕМЬИ",DIPABMAA HADER CEMbH
10,"what does your free look like? Decorate the christmas 
 free witch crayola crayons, markers, and glitter glue","treewithCrayolacrayons,markers,andglitterglue What doesyour treelookBke?Decorate the Christmas"
11,5Б/8 ул. Некрасова,5/8 yn. HEKDACOBA
12,Преображенский храм,A5 P MackoccanIlerpaoxnr PttLanHlaana uanllegkonh HlpeOkpaKeHCKH XpaM
13,12 ОЛЬХОВАЯ,12 OnbXOBAA
14,пр. Чайковского 31а,np.yaMKoBcKoro 31a
15,средняя школа 20,HFEAHOIKOA NE20
16,22-20,Gemle Bngotes 22-20
17,belgoro,BELGOR
18,61,61
19,улица Полевая 35,HoIeBaa yJHna 35
20,У меня только две проблемы- нечего надеть и маленький шкаф,YMEHTOAbKO ABE IPOBAEMbI- HEUErO HAAETb W MAAEHbKVY LLIKAP
21,улица набережная 28,JIH 28元
22,машук 2016,MAIIYK 2016
23,Целебный источник,a
24,Catrix  8(499)657 90 48 catrix.ru,Carti 8（499)6479048-cartix.ru paCxo at
25,озерная  13,039p449 Bavua Alacrep
26,управление промышленного компле и природопользования администрации ракитянского райо,eh证 KOMIJIEK IPHPOnOHON63OBAHWA AAMMHWCTPALWW PAKMTAHCKOT PAWOH
27,DESTROY,DESTROY
28,БЕЛГОРОД ХАРЬКОВ,BEnrOPO → XAPbKOB 6P0000P rOnOBKHCKDE XOTHEXORCTB OoL
29,28 привольная,28 HPHBOJDHAA Avito
30,БИБЛИОТЕЧНАЯ ЖИЗНЬ БЕЛГОРОДЧИНЫ,GMEIROTEUHAEXHHN GEIOTOTNMMI B.s Slo
31,улица СПАРТАК 10-А,APTAK CII
32,Фабрика Рекламы 8-962-307-01-01,BMHHO. 中a6pukaPeknaMb 8-962-307-01-01
33,домовые таблички.рф,nOMOBble
34,Бел ИРО,BenvPo HnNTampoeneHgperoamHoroTama BcepoccHotcKDeoKoHxypcaMeTOx DeaRHSsLEHkFpurPEMNb
35,ОТКР ОР,"OTKP HaGHTan H CH oC N ""OTKPSTO3ASPbTOayTpn  1 Ap:0421030 rpoanmtkoco""Ato COTERaIDTDrOHEN.  Aao:141500.ocon.r.an yn3A OO0.+-51-T3 OPI"
36,производство бегущих строк,nPOM3BOACTBO GEryLNXCTPOK
37,улица З.Биишевой 13,YAHUA 13 3.BHNIEBON
38,МОБИЛЬНОЕ ПРИЛОЖЕНИЕ ДЛЯ СМАРТФОНОВ НЕТ СВЕТА,PCETW MOSMNbHOENPNNOKEHNE POCCET CMAPTOHOB《HETCBETA HETCILLA PTIPHCR
39,переулок ЗАБАЛКОВСКИЙ 1,
40,36,36
41,РЕКЛАМНОЕ АГЕНТСТВО ПРИОРИТЕ световые короба от 8 500р. м,PEKNIAMHOEArEHTCTBO NPVOPVTE CBeTOBble KOpo6a 8 500 OT P.M
42,правильное расположение тактильной таблички,"1.2-1,6  DPABW-HOEPACIONOREHMETAKTMNBHORTAENMNK"
43,8 - я ЛИНИЯ 143, J 143
44,ДЗГОЕВ ФЕДОР СТЕПАНОВИЧ,A3rOEB 中ENOPCTENAHOBMY Ko 1243375- bonroponOTeLD-中auNoTooo CFDRKCAOAAMBH3HACOOOOKRN P9cH Bnagansna610 aoryea 1911COT 1843rnpo cnn Xapbcon npon pco.C 211955 BaroeBs. Ke
45,"30 
 1223",30 1223
46,Денежный поток,yayeAen FnSF YRY JeHenotok FFF
47,КОРАЛЛОВАЯ 18 УЛИЦА,KOPANNOBAA 18 V 三 gde
48,"Петрова 
 Ирина 
 Васильевна 
 12.03.1898 - 14.05.1973",HeTooBa HoHHa BacHAbEBHa 12.03.1898-14.05.1973
49,2А УЛИЦА ИГНАТЬЕВСКАЯ,2A yANUA GKAA X
50,ТРУДЫ ПО ЕВРЕЙСКОЙ ИСТОРИИ И КУЛЬТУРЕ,BD TPYAHI IIO EEPEICOMCTOPHM HKYAbTyPE MaTaAMXXTlIMeKAsPuHo eseroAnotxoegepeiuprd Do HyAaKe Burrcx 54 2117
51,ТЕХНОЛОГИИ ТУРИСТСКОЙ ДЕЯТЕЛЬНОСТИ: СОСТОЯНИЕ И ПЕРСПЕКТИВЫ РАЗВИТИЯ,TEXHONOFMN TYPNCTCKOMAEATENbHOCTN: PA3BMTMA COCTORHMEMDEPCDEKTMBB CMONEHCK.2017
52,Сергей Орлов,Cepzei Opio8
53,СИЛА ЦВЕТА' МОСКВА,CHNA LIBETA' MOCKBA
54,бомбезная кепка,RENKA 6OMGE3HAR
55,росгвардия,POCrBAPAMA
56,ПРОМ ПЕЧАТЬ,IPOM D nEYATb
57,СВОЙ ДИЗАЙН,CBOn QM3AIH
58,ВЫШЕ НОС КУСОК МЯСА!,MACA!
59,TopCAR,ToptOar
60,Shut up and FISH!,CHUTUR FISH
61,logo,logo
62,SENDAYS BEST,SONDAYS 口 BEST
63,GRL PWR,GRLM PWR
64,go,k Sigo
65,"Mr. 
 Cards",AMr. Cards
66,T-Rex is BEST,T-Rex 16 BEST!
67,Stale,YRIATION oeae
68,SHERIFF,SHERIFF
69,I WAS BORN TO FLY,
70,ANKER,BANKER
71,ХочуПива,KeryTula
72,CRUSH ON YOU,CRUSH ON YOU
73,REDNECK RAMPAGE,REDNECK RAMPAGE
74,ALENCIAGA,MLENCIAGA
75,"YORK 
 08",CNI YORUK 08
76,СБУ,c6y
77,031НШЕ,03IHLIE
78,"OF CITY 
 STON",STON
79,RAP,RAP
80,YOUTH,VOUTH
81,PUmA,pumA
82,ASICS TIGER,NE
83,adidas,
84,NIKE,
85,Vans,心  VANS
86,day,Foday
87,RAINE,CKRAINE
88,ТРЕЗВЫЙ И БЕЗ ДЕНЕГ,TPE3BbIN M 6E3 AEHEr
89,ЛУКОЙЛ,以 JYKORn
90,DIMA 29,DIMA 29
91,LET'S PLAY,PAS
92,KIDS,KIDS 
93,"tephen Ki Book Signing day, November 11th at 6","Ctephen KI STES Books Signing day,November11that6"
94,FBI,EBI
95,simple trin,
96,TAJIMA,TAJIMA  y
97,Шарден дом вкуса,EAA d0 lapleH!  FOM BKYCA
98,Мой .рф,Mou ME
99,Jack Wolfskin,Jack Wolfskin
100,ДИЗАЙН ВЫВЕСКИ,AN3ANHBbIBECKH
101,PANDORA,PANDORA
102,ПРОДУК,nPOayk
103,"PIZZERSA 
 Z 
 HOLLE",PIZZERA HOLLE
104,ОЛИМП,OAHMI
105,САМОВАРЪ,CAMOBAPb
106,GRAFF G MEDIA,GRAFF MEDIA
107,SHOP,SHOP
108,PIZZA,PIZZA 
109,M,m
110,этисэль САЛОН КРАСОТЫ этисэль САЛОН КРАСОТЫ этисэль,DMuCOK CAnOH KPACOTE aMuCaK CAnOH KPACOTH aMUCaN
111,Перспектива ,CENTURY ZI nepcneKTMBa
112,PARK,PHRK 心
113,ЭЛЕКТРО ПРОВОДКА,TEKTPO nPOBOAKA
114,HYUNDAI,HYUNDAI
115,Красное Бел,KpacHoe Beo
116,ФизКульт СЕТЬ ФИТНЕС КЛУБОВ,中H3KynbT CETbOWTHEC K月Y5OB
117,CH CH,CH-CH
118,MAMA DOMA товары для дома,DOMA MAMA moBopudnadoMo
119,САЛОН КРАСОТЫ,CAAOH KPACOTbI
120,Абсолют Банк,AbconioT BaHk
121,"ГОСУДАРСТВЕННЫЙ 
 ДРАМАТИЧЕСКИЙ 
 ТЕАТР",TOCYIAPCTBEHHbIN IPAMATHYECKHM TEATP
122,OPEN,OPEN
123,"всЕзнайка 
 Дитяча студiя розвитку",
124,ЧАСОВАЯ МАСТЕРСКАЯ,HACOBAH MACTEPCHAH Muti Kei Cai Bston nnmo
125,КНИГИ,BRDS NGS241RU
126,ApiJo,Apiuo
127,ОБУВЬ,o5yBb
128,Банк Клиентский,BaHK KnMeHTCKMA
129,-А,
130,PASCUCCI,PASCUCCI
131,ВЪЕЗД НЕ ЗАНИМАТЬ ШТРАФ 2 КОЛЕСА В ЧАС,BbE3n HE 3AHNMATb WTPA中 2 KONECA B YAC
132,Дореволюционные вывески в Москве,opeBOnIOuNOHHbleBbIBeCKHBMoCKBe
133,"VANIL' 
 кофе булочка",VANIL koqe&6yAo4ka
134,ЕЙ ГНИ РМАРК,
135,ВЫВЕСКА ВЫВЕСКА,HF Goen 05# BbIBECKA BbIBECKA He 6oe AL4 lr Gon
136,АПТЕКА,ANTEKA
137,ESTHETIC CENTER MEAMO,MEAMO
138,-1 URAL FERRUM FI HT LU,FERRUM M-1URAL FIGHTCLUB
139,красный куб,KPACHbIG KY6
140,БУКВЫ,5yKBbl SAHHEP MAPKNUH BMTPHHHAR TPAGMKA
141,CHURCHILL,
142,N,N
143,ЛЮКС ВОДА,MIOKCBOna
144,охОта рыбалка,oxOra
145,"сеНоВал 
 трактир",CEHoM dn TpaKTup
146,Трюфель,lpicpeab OC
147,WILDBERRIES,WILDBERRIES
148,G,C
149,ЗОЛОТАЯ СТРЕКОЗА,30NOTAA CTPEKO3A
150,МЕСТО ДЛЯ ВАШЕГО БРЕНДА,MEOTOAHHBAEEFO SPEHEA
151,Park Claros,Claros
152,"ИП Белик 
 РЕЖИМ РАБО 
 с 9:00",
153,WILDBERRIES,NN WILDBERRIES HA
154,Восточный ветер ТОРГОВЫЙ ЦЕНТР,OCTOYHbINBETEP TOPrOBbINLEHTP HABMTATOP PA3PAEOTKA.V3rOTOBNEHMEMMOHTAXPEKNAMHbIXKOHCTPYKLMD www.mign365.ru CTVnTb
155,МАГНИТ КОСМЕТИК,MAIHHTIKOCMETNK
156,ruine,nine
157,Хинкальная,XuHKanbHaA
158,"DeSheli 
 Beauty center",DeSheli Beauty center DEsheli
159,М.видео,.M.buqeo
160,БАНК ЮГРА,BAHK IorPA IOIPA
161,The GENIUS,CDO THE GENIUS CAOHAKTACOTM CPOUnRNE BALTY Lowbwrmo OLknre wwn.giesbypnincon  CMot
162,TRUSSARDI,TRUSSARDI Trussardi Jeans 10:022:00 SALE At -50%
163,ОБУВЬ,
164,долг Верни чорт,H gonr Bepny Y0PT
165,повестки в унитаз!,nOBeeTKU BYHMTA3!
166,"СПАСИБО, ВАЛЕРИЙ ГАРКАЛИН",CHACMGO BANEPMA FAPKAJIMH
167,19-037-84-82 МИХАИЛ,19-037-84-82MWXAVI BCTRAHEADTO doT
168,baby it's cold outside,haby io cold Side
169,КУРСК - СТОЛИЦА СО КРАЯ,
170,СМЕРТЬ,CMEPTb
171,МАША,59RU
172,baby its Cold qutSide,elilbyr uiso Cotd eutside
