index,answer,prediction
0,Back to School,Back to School
1,ABCDEFGHI JKLMNOPQR STUVWXYZ 1234567890,ABCDEFGHI JKLMNOPQR STUVWXYZ 1234567890
2,Progimp.ru,Progimp.ru
3,я школу!,WKou
4,С ДНЕМ ЗНАНИЙ!,CDHEM 3HАНИЙ!
5,Pizza,Pizza 8
6,much wine?,much WINE?
7,back to chool!,BACK TO SCHOOL!
8,APRiL IS CHiLD ABUSE PREVENTION MONTH,* APRIL IS CHiLD ABUSE PREVENTION MONTH *
9,"ПРАВИЛА 
 НАШЕЙ 
 СЕМЬИ",ПРАВИЛА HAШЕЙ СЕМЬИ
10,"what does your free look like? Decorate the christmas 
 free witch crayola crayons, markers, and glitter glue","tree with Crayolo@ crayons, markers, and glitter glue. What does your tree look like? Decorate the Christmas"
11,5Б/8 ул. Некрасова,5/8 yn. HEKPACOBA
12,Преображенский храм,95 2 Macoccn 1arptappt Pytccaclpand an 1epkoh Преокраженский храм
13,12 ОЛЬХОВАЯ,12 ОЛЬХОВАЯ
14,пр. Чайковского 31а,пр.Чайковского 31a
15,средняя школа 20,ЕД ЦКА 1Е2О
16,22-20,Conla Brgatae 22-20
17,belgoro,BELGOR
18,61,61
19,улица Полевая 35,Полевая улица 35
20,У меня только две проблемы- нечего надеть и маленький шкаф,УМЕНЯ ТОЛЬКО ДВЕ ПРОБЛЕМЫ- HEЧEГO НАДЕТЬ И МАЛЕНЬКИЙ ШКАФ
21,улица набережная 28,ЛИ 28
22,машук 2016,МАШУК 2016
23,Целебный источник,CMP
24,Catrix  8(499)657 90 48 catrix.ru,Carti 8 (499) 647 90 48 - cartix.ru расходные материнлы для оретснми
25,озерная  13,030p49 Raлa Macrep
26,управление промышленного компле и природопользования администрации ракитянского райо, KOMTIEK ПРИРОДОПОЛЬЗОВАНИЯ АДМИНИСТРАЦИИ АКИТЯНСКОТ PAЙO
27,DESTROY,DESTROY
28,БЕЛГОРОД ХАРЬКОВ,БЕЛГОРОД → ХАРЬКОВ 6P0000P ФОЛОВИНСКОЕ ХОТНИЧЬЕ ХООЯЙСТВО 0
29,28 привольная,28 ПРИВОЛЬНАЯ Avito
30,БИБЛИОТЕЧНАЯ ЖИЗНЬ БЕЛГОРОДЧИНЫ,БИЕЛИОТЕЧНАЯ ЖИУИЬ БЕЛГОРОДЧИНЫ Bmm.209 =1
31,улица СПАРТАК 10-А,APTAK CП
32,Фабрика Рекламы 8-962-307-01-01,CИHHИ Фабрика Рекламы 8-962-307-01-01
33,домовые таблички.рф,домовые
34,Бел ИРО,БелиРо Из опыта проведрния регионального этата всероссийского канкурсяметодик реализации програмны
35,ОТКР ОР,"OTKP Намаание: Табличс на встенннй осое Nе ОТКРЫТОЗАКРЫТО*ДВУпОРОННя Мeь4 1042) Apтwyn: 049221030 Пронавадитель О0О ""Ато 273W210708704M. MAR207 Aдр0c: 141800, Woско0сая oбn.,г. Тапом. уп. Загородная. д 1А. Пастцк: 000 1ерко"" тл. +745р781-51-72 OPI"
36,производство бегущих строк,ПРОИЗВОДСТВО БЕГУЩИХ СТРОК
37,улица З.Биишевой 13,УННЦА 13 3. БИЙШЕВОЙ
38,МОБИЛЬНОЕ ПРИЛОЖЕНИЕ ДЛЯ СМАРТФОНОВ НЕТ СВЕТА,POCCETH МОБИЛЬНОЕ ПРИЛОЖЕНИЕ PECCETH ДЛЯ СМАРТФОНОВ «НЕТ СВЕТА» HETCECA 30C2979 4224C
39,переулок ЗАБАЛКОВСКИЙ 1,
40,36,36
41,РЕКЛАМНОЕ АГЕНТСТВО ПРИОРИТЕ световые короба от 8 500р. м,РЕКПАМНОЕ АГЕНТСТВО ПРИОРИТЕ световые короба 8 500 OT p.m
42,правильное расположение тактильной таблички,1.21.6m ПРАВИЛЬНОЕ РАСПОЛОЖЕНИЕ ТАКТИЛЬНОЙТАБЛИЧКИ
43,8 - я ЛИНИЯ 143,8-яЛИНИя 143
44,ДЗГОЕВ ФЕДОР СТЕПАНОВИЧ,ДЗГОЕВ ФЕДОРСТЕПАНОВИЧ Командир 1243 полкв 375-й :Бопгород отмемецо-фашиотоех стрековой дивкани оовобаждал зоватнов Родился 9 сенткря <Владивк Пагнб 10 вогусто 1911 годя в Сярной Ооети 1843 под в районе сeла Питд Харыовской области. Еапторода прнсвоено иие Ф.С. 21 впретя 1965 года упмце Дагоева. 
45,"30 
 1223",30 1223
46,Денежный поток,Нуy е д FNF YRY Денежний поток FFF
47,КОРАЛЛОВАЯ 18 УЛИЦА,КОРАЛЛОВАЯ 18 И 1 gde
48,"Петрова 
 Ирина 
 Васильевна 
 12.03.1898 - 14.05.1973",Петрова ИpuHa BachьeBHa 12.03.1898-14.05.1973
49,2А УЛИЦА ИГНАТЬЕВСКАЯ,2A УНУЦА CKAA X
50,ТРУДЫ ПО ЕВРЕЙСКОЙ ИСТОРИИ И КУЛЬТУРЕ,7B0 ТРУДЫ ПО ЕЕРЕЙСКОЙ ИСТОРИИ И КУЛЬТУРЕ Матриамы ХХИМежунроцно ееголной конференрои nо иуданке Barpcx 54 2017
51,ТЕХНОЛОГИИ ТУРИСТСКОЙ ДЕЯТЕЛЬНОСТИ: СОСТОЯНИЕ И ПЕРСПЕКТИВЫ РАЗВИТИЯ,ТЕХНОЛОГИИ ТУРИСТСКОЙ ДЕЯТЕЛЬНОСТИ: РАЗВИТИЯ СОСТОЯНИЕ И ПЕРСПЕКТИВЫ СMОПЕНCK2017
52,Сергей Орлов,Сергей Орлов
