index,answer,prediction,correct
0,"Щукин
лемех",Щукин ^еМеХ,False
1,марля,[,False
2,"влюбленный
женский",влювлЕнный жвнский,False
3,норвежец,ЮрВЮОЩ,False
4,"Никонова
хлев ствол
Енисей",Нчконоса хлез спЗол Енчсей,False
5,переезжать,(@реезжагь,False
6,девятый,5 девятый,False
7,добреть,Чобреть,False
8,верея-,Верея-,True
9,цикл,ЦИКЛ,True
10,"гнедой 11478 кузовной
минералогия ознакомиться
авеню Карцев Гулиев дубляж
воодушевиться нищий",педой 11478 кузовной миералопия ОзНакОмИГЬСЯ авен Карцев Гулиев дубляж воодушевигься #щий,False
11,ванна,4,False
12,провинциальный,провииакьй,False
13,"кариес Ладога
Меренков априори  ,
кислый кинодраматург
сценарный сенной  )",КАРИЕС   ЛАДОГА МЕРЕНКОВ АПРИОРИ КИСЛЫЙ КИНОДРАМАТУРГ СЦЕНАРНЫЙ СЕННОЙ,False
14,"сапа вот-вот
пуговица","с<,и 8ой 8 ой 47з08 и/а",False
15,parent,2аге/4,False
16,Суздалев,СУЗДАЛЕВ,True
17,"лабаз достоверно
провидец
бесшовный",лабаз досшоверно провч@ец бесшовный аев,False
18,Крикунова(,СО.: 4087( Крчку},False
19,"опыт
Есипов
Куница",ОПЫТ КВ Кунища,False
20,экспансивный(,ЭКСПаНСНВНЫЙ,False
21,Манчестер),Манчеспер),False
22,иголочка восстанавливать,нголочка восстанавливать,False
23,"Закавказье
Хвойницкий",Закавказье Хвойницкий,True
24,пролетариат,),False
25,заметно стирать!,заметно стирать!,True
26,"мудрствовать редчайший
подборка роно
погубить стемнеть
89212 тол
раскритиковать","',5 1 ' ; ` , Е: ,  4: Та лынс2а ш26",False
27,Шипов,Шипо?`,False
28,"9399691431
продувной",ЧЕ94 прадуВнпй,False
29,"ляжка
сорный
сшибка",ляжка сорнй сшибка,False
30,Франциск,Францио,False
31,9142591539,9142891539,False
32,"протока
попа
взлетать",ПРОТОКА пОп ВЗЛЕТАТЬ 5ч ч чъа шчч ч € !,False
33,60251,60251,True
34,доблестный,Ооблесшны',False
35,Шкляров,Шкляроб,False
36,"шиться
87025",питвау 87025,False
37,СУБД,89ъ9,False
38,увеселительный,увэселителыьй,False
39,корифей,кориосй,False
40,"диоксид
темно
47381
запасти .
седалище",ДИОКСИД темно 47381 запасти седалище,False
41,Юлдашева,Юлдашова,False
42,Рябцева),РЯВЦЕВА) 5 [{2 С_ЧБ,False
43,"Кудревич
булькать",К{'ебич бульк шь,False
44,"делец
Семко",Семк о Оел ец,False
45,"smile
круг",ЗМ-_Е КРУГ,False
46,"Хватов;
тостер",ОВ гягшъ = Хва7 То Етер,False
47,"горький Зимин
наградить 9307300401",гарький   Змин наградить 9ШПЗОМШ,False
48,Костевич,Костеви ,False
49,калым,клым,False
50,посланец,Ъосланещ,False
51,"прогреметь
шелкопряд
гадский",АТи прогреметь шелкопряд гадский,False
52,салфетка.,салфетка:,False
53,"ride
little",г1фе [й++}е,False
