index,answer,prediction
0,"Щукин
лемех",LLLy KUH AeMex T
1,марля,Ma 26
2,"влюбленный
женский",BIOBIEHHY XEHCKHY
3,норвежец,HopBewkeu
4,"Никонова
хлев ствол
Енисей",HUKOHOBa xsee cmBOn EHuceu 4
5,переезжать,C M 保
6,девятый,AeBATbIM 二
7,добреть,Ao6peTb N
8,верея-,一 Bepeg-
9,цикл,LNKN
10,"гнедой 11478 кузовной
минералогия ознакомиться
авеню Карцев Гулиев дубляж
воодушевиться нищий",rHenOn 11478 Ky30BHON MuHepanonwa 03HaKOMMTbCA KapueB TynveB Ay6nAOK aBeIO BOOAyLeBMTbCA HNLN
11,ванна,BAHHA
12,провинциальный,mOONHLINOAHN MHDHAT C
13,"кариес Ладога
Меренков априори  ,
кислый кинодраматург
сценарный сенной  )",KAPVEC MAAOrA 2 MEPEHKOB ANPNOPN KUCnb KUHOAPAMATYPT CLEHA PHbIN CEHHON
14,"сапа вот-вот
пуговица",Cana Bom-Bom ny zob uua 
15,parent,parent
16,Суздалев,
17,"лабаз достоверно
провидец
бесшовный",na6a3 docmoBepHo npoeudeu 6ecwoBHblu HAGAKURE m
18,Крикунова(,Kouryool CODE
19,"опыт
Есипов
Куница",y ObIT ECHIIOB KyHKILa 同
20,экспансивный(,aKCnaHCUeHbIUC
21,Манчестер),MaHuecmep) 口
22,иголочка восстанавливать,S HTOOTKa BOCCTaHaBJIHBaT
23,"Закавказье
Хвойницкий",× X 3ak aBk a3be XBONHNUKNN
24,пролетариат,
25,заметно стирать!,3aMeTHO CTHpaTb!
26,"мудрствовать редчайший
подборка роно
погубить стемнеть
89212 тол
раскритиковать",迎X国不份
27,Шипов,Wnnod 白口口
28,"9399691431
продувной",9399691431 npanybHOM
29,"ляжка
сорный
сшибка",JS>Kka COPHbN cWv6ka
30,Франциск,正 心  、
31,9142591539,9142591539
32,"протока
попа
взлетать",BmnRNI 月 了 IPOTOKA nOIA B3IETATD 
33,60251,口 国 60251
34,доблестный,到日 doonecmail
35,Шкляров,WKAapoe
36,"шиться
87025",mHTBca 87025
37,СУБД,开 8y9  anfo ACCAEINICT
38,увеселительный,yBecenNTenbHbM
39,корифей,Kopupei
40,"диоксид
темно
47381
запасти .
седалище", NOKCN TEMHO 47381 3anacT ceannwe
41,Юлдашева,OnAaweBa
42,Рябцева),PABLIEBA) V YI CL STOBIES
43,"Кудревич
булькать",福 D ?  5 ?  n Kyopesuu 6ynbkamb
44,"делец
Семко",aen eu CeMKo N
45,"smile
круг",TAG SMILE KPYT 发 羊
46,"Хватов;
тостер","XBaTOB, TocTep ECALCAOA iFACSCUM LIRPINU "
47,"горький Зимин
наградить 9307300401",V ropbKHA 3HMNH 9307300401 HarpaATb
48,Костевич,KOCTeBNu
49,калым,KAILIM
50,посланец,nocnaney CINWN
51,"прогреметь
шелкопряд
гадский",porpemetb WenkonpaA raAckun 一 I
52,салфетка.,CaJpeTKa.
53,"ride
little",ride little eole oNoOVo
54,"Ломов Желтова
нахрапистый крупица
Руденя 9947989816
Гончаревич идиллия",nOMOB enTOBa HaxpanncTbi kpynnya PyAeHA 9947989816 rOHyapeBNY NA UR
