index,answer,prediction,correct
0,"Щукин
лемех",LLLy KUH AeMex T,False
1,марля,Ma 26,False
2,"влюбленный
женский",BIOBIEHHY XEHCKHY,False
3,норвежец,HopBewkeu,False
4,"Никонова
хлев ствол
Енисей",HUKOHOBa xsee cmBOn EHuceu 4,False
5,переезжать,C M 保,False
6,девятый,AeBATbIM 二,False
7,добреть,Ao6peTb N,False
8,верея-,一 Bepeg-,False
9,цикл,LNKN,False
10,"гнедой 11478 кузовной
минералогия ознакомиться
авеню Карцев Гулиев дубляж
воодушевиться нищий",rHenOn 11478 Ky30BHON MuHepanonwa 03HaKOMMTbCA KapueB TynveB Ay6nAOK aBeIO BOOAyLeBMTbCA HNLN,False
11,ванна,BAHHA,False
12,провинциальный,mOONHLINOAHN MHDHAT C,False
13,"кариес Ладога
Меренков априори  ,
кислый кинодраматург
сценарный сенной  )",KAPVEC MAAOrA 2 MEPEHKOB ANPNOPN KUCnb KUHOAPAMATYPT CLEHA PHbIN CEHHON,False
14,"сапа вот-вот
пуговица",Cana Bom-Bom ny zob uua ,False
15,parent,parent,True
16,Суздалев,,False
17,"лабаз достоверно
провидец
бесшовный",na6a3 docmoBepHo npoeudeu 6ecwoBHblu HAGAKURE m,False
18,Крикунова(,Kouryool CODE,False
19,"опыт
Есипов
Куница",y ObIT ECHIIOB KyHKILa 同,False
20,экспансивный(,aKCnaHCUeHbIUC,False
21,Манчестер),MaHuecmep) 口,False
22,иголочка восстанавливать,S HTOOTKa BOCCTaHaBJIHBaT,False
23,"Закавказье
Хвойницкий",× X 3ak aBk a3be XBONHNUKNN,False
24,пролетариат,,False
25,заметно стирать!,3aMeTHO CTHpaTb!,False
26,"мудрствовать редчайший
подборка роно
погубить стемнеть
89212 тол
раскритиковать",迎X国不份,False
27,Шипов,Wnnod 白口口,False
28,"9399691431
продувной",9399691431 npanybHOM,False
29,"ляжка
сорный
сшибка",JS>Kka COPHbN cWv6ka,False
30,Франциск,正 心  、,False
31,9142591539,9142591539,True
32,"протока
попа
взлетать",BmnRNI 月 了 IPOTOKA nOIA B3IETATD ,False
33,60251,口 国 60251,False
34,доблестный,到日 doonecmail,False
35,Шкляров,WKAapoe,False
36,"шиться
87025",mHTBca 87025,False
37,СУБД,开 8y9  anfo ACCAEINICT,False
38,увеселительный,yBecenNTenbHbM,False
39,корифей,Kopupei,False
40,"диоксид
темно
47381
запасти .
седалище", NOKCN TEMHO 47381 3anacT ceannwe,False
41,Юлдашева,OnAaweBa,False
42,Рябцева),PABLIEBA) V YI CL STOBIES,False
43,"Кудревич
булькать",福 D ?  5 ?  n Kyopesuu 6ynbkamb,False
44,"делец
Семко",aen eu CeMKo N,False
45,"smile
круг",TAG SMILE KPYT 发 羊,False
46,"Хватов;
тостер","XBaTOB, TocTep ECALCAOA iFACSCUM LIRPINU ",False
47,"горький Зимин
наградить 9307300401",V ropbKHA 3HMNH 9307300401 HarpaATb,False
48,Костевич,KOCTeBNu,False
49,калым,KAILIM,False
50,посланец,nocnaney CINWN,False
51,"прогреметь
шелкопряд
гадский",porpemetb WenkonpaA raAckun 一 I,False
52,салфетка.,CaJpeTKa.,False
53,"ride
little",ride little eole oNoOVo,False
54,"Ломов Желтова
нахрапистый крупица
Руденя 9947989816
Гончаревич идиллия",nOMOB enTOBa HaxpanncTbi kpynnya PyAeHA 9947989816 rOHyapeBNY NA UR,False
