index,answer,prediction
0,Back to School,Васк +о Яс^оо}
1,ABCDEFGHI JKLMNOPQR STUVWXYZ 1234567890,АВФ.Е@@[ Ш1Ъ{М@Р@В 'т  ж 2 1234567890
2,Progimp.ru,Рго:ёшр <ч
3,я школу!,Ъ [
4,С ДНЕМ ЗНАНИЙ!,С ФНЕМ ЗНАНИИ;
5,Pizza,"?22"""
6,much wine?,"""'&Ё? 'ф"
7,back to chool!,1о ~СНООЦ {ВАСК
8,APRiL IS CHiLD ABUSE PREVENTION MONTH,;Р?Ц /5 (ЦЦ АВ&ЯЕ РРЕПШЯШПН
9,"ПРАВИЛА 
 НАШЕЙ 
 СЕМЬИ",ПРАВИИА ВВШШ
10,"what does your free look like? Decorate the christmas 
 free witch crayola crayons, markers, and glitter glue","[}а' 8о6з уачг #о ^ф4 Пр? Гесагпее [ъ С4п:п@в 'гевч €/ыю  <атапз_шащвг: #я,шы аце"
11,5Б/8 ул. Некрасова,5Ш !Л [ЮШИСОВА
12,Преображенский храм,^9 Штот Преокр женскпй Храм тв 5
13,12 ОЛЬХОВАЯ,12 ОЛЬХОВАЯ
14,пр. Чайковского 31а,др Чайковского 31а
15,средняя школа 20,#419) ШД:
16,22-20,
17,belgoro,ва!@ок9
18,61,[
19,улица Полевая 35,улица Полевая 35
20,У меня только две проблемы- нечего надеть и маленький шкаф,МЕНЯ ТОЛЬКО АВЕ ПРОБАЕМЫ- НЕЧЕГО НАДЕТЬ МААЕНЬКИЙ ШКАФ
21,улица набережная 28,Ш `е  1 1 Амкун ё 9 (
22,машук 2016,МАШУК 2016
23,Целебный источник,ШЕшиеп
24,Catrix  8(499)657 90 48 catrix.ru,(а+' сап 64 7 тысаунэ 38499} 65
25,озерная  13,63
26,управление промышленного компле и природопользования администрации ракитянского райо,Роп-омышы ~оэъ пРнРодо лъзовннут АДМИНИСТРАцИИ ЗАКИТЯНСКОГО РАЙЫ'
27,DESTROY,@ЁЗТ?О}
28,БЕЛГОРОД ХАРЬКОВ,БЕЛГОРОД ХАРЬКОВ ЕГСО ТО:₽ ГОЛОКИНСИЕ Пнн (ИЕЕСт&
29,28 привольная,28 ПРИВОлЬАя А+о
30,БИБЛИОТЕЧНАЯ ЖИЗНЬ БЕЛГОРОДЧИНЫ,КЕЕЛРРПМНАЕ АЧАЕ ппчяы
31,улица СПАРТАК 10-А,Рул # ЦА СПАРТАК 10А
32,Фабрика Рекламы 8-962-307-01-01,Фабрика Рекламы [? 8-962-307-01-От
33,домовые таблички.рф,ппмппыа
34,Бел ИРО,ш_ 1 БРЛХИРО [эшех; ₽>я-шаш Еаттэ/МЕХтэрИ РФ ышз @ч[лиы Тыы ~епрре т
35,ОТКР ОР,"м47п Тепяч:нтлагэцныанэъуа ~кыплы ны1 # пмчсраишя ы10гп нтеем [1-шл] ОТКР ?я,1. ягачыра - Им ?} 7шч ы г]:7 ""сн & . г агар - тианг_-р ОРН тт пыныршъ4ла 1ы-"
36,производство бегущих строк,ПРОИЗВОДСТВО БЕГЖИХ СТРОК
37,улица З.Биишевой 13,3. БийшЕвой  13
38,МОБИЛЬНОЕ ПРИЛОЖЕНИЕ ДЛЯ СМАРТФОНОВ НЕТ СВЕТА,МОБИЛЬНОЕ ПРИПОЖЕНИЕ #Етан ДЛЯ СМАРТООНОВ ~НЕГ СВЕТАЛ
39,переулок ЗАБАЛКОВСКИЙ 1,[е ~^` ЗАБАЛКОВСКИЙ п е р еул о к 2
40,36,36
41,РЕКЛАМНОЕ АГЕНТСТВО ПРИОРИТЕ световые короба от 8 500р. м,АГЕНТЕТЕО ПРИПРИТВ световые короба 8 50бр: м' РЕКПАМНЕЕ
42,правильное расположение тактильной таблички,Е} ЕПЕПа-ЕНЕТЫТИЫПНаНТЧБПН ГЦ
43,8 - я ЛИНИЯ 143,88-я линия
44,ДЗГОЕВ ФЕДОР СТЕПАНОВИЧ,"ДЗГОЕВ ФЕДОР СТЕПАНОВИЧ КоыиуР 12 5лад9 5/5 ₽ срэтЕаяЕмшндетии#л ПЕаЕтада #ашосая енн= ~51Ешн  Длилело Шъ_ гЕл:г лппр 5ВЗм зпыгшно Шити %пыа 7о % Рли- #шам Елттапр , ,, ыос Пэлн"
45,"30 
 1223",30 1223
46,Денежный поток,[ПеП уи (?? [*.
47,КОРАЛЛОВАЯ 18 УЛИЦА,КОРАЛЛОВАЯ 18 5
48,"Петрова 
 Ирина 
 Васильевна 
 12.03.1898 - 14.05.1973",Петоова Ирина ВаснАьевна 12.03.1898-14.05.1973
49,2А УЛИЦА ИГНАТЬЕВСКАЯ,24' УЛИЦА (дтмшвсуу
50,ТРУДЫ ПО ЕВРЕЙСКОЙ ИСТОРИИ И КУЛЬТУРЕ,"итгенкшшн нчаанни Ет,ыи #т амь;иъцткатяиг иън.эпн_пшпки шъины"
51,ТЕХНОЛОГИИ ТУРИСТСКОЙ ДЕЯТЕЛЬНОСТИ: СОСТОЯНИЕ И ПЕРСПЕКТИВЫ РАЗВИТИЯ,згснач сп:Ч технапатин 1Уеи]ЕтаипЕн]ЧпАнаги СОСТОяН{Еи ПЕРСПЕкТИВЫ НД_н|ян аиалвмн
52,Сергей Орлов,Сереей Орлов
53,СИЛА ЦВЕТА' МОСКВА,СИЛА ЦВЕТА' МОСКВА
54,бомбезная кепка,БШШЮИ
55,росгвардия,[ЮШВД
56,ПРОМ ПЕЧАТЬ,Ш?ЫМ ПЕЧАТЬ
57,СВОЙ ДИЗАЙН,(ВОЙ ЩМ
58,ВЫШЕ НОС КУСОК МЯСА!,ППС
59,TopCAR,"ЮЁ(& ,кфвшвмела е"
60,Shut up and FISH!,сШДФь [[5Щ
61,logo,[о9о
62,SENDAYS BEST,"4 МБ41"""
63,GRL PWR,@
64,go,к [с?
65,"Mr. 
 Cards",{Мт: Сагф
66,T-Rex is BEST,1 Т-8ех 8Е$Т!
67,Stale,(Зюю;
68,SHERIFF,@ЕВ
69,I WAS BORN TO FLY,
70,ANKER,[8КЕ@
71,ХочуПива,Ж(ЧУбо
72,CRUSH ON YOU,0& СРЫЗН ?О.
73,REDNECK RAMPAGE,[[Р5сАЕ
74,ALENCIAGA,ИЕМЕТА:А
75,"YORK 
 08",Ы 09 'Я8
76,СБУ,СБУ
77,031НШЕ,(ШЩ
78,"OF CITY 
 STON",{10М
79,RAP,[ВА;
80,YOUTH,"""ошт"""
81,PUmA,{ШИ}
82,ASICS TIGER,@1С [
83,adidas,"(ы"" Кл ~фф@з"
84,NIKE,
85,Vans,[.$
86,day, ос ?
87,RAINE,
88,ТРЕЗВЫЙ И БЕЗ ДЕНЕГ,ТРЕЗВЫИ и БЕЗ ДЕНЕГ
89,ЛУКОЙЛ,лухойл
90,DIMA 29,954
91,LET'S PLAY,{4у
92,KIDS,"""08"
93,"tephen Ki Book Signing day, November 11th at 6","{ер<еп к"" Воок $191 9 Зау ^очеЬег 116 а 6"
94,FBI,(В1
95,simple trin,Ш
96,TAJIMA,шлии
97,Шарден дом вкуса,3 {ОМ' Шорден ВКУСА
98,Мой .рф,Пой рф П ппв & 5
99,Jack Wolfskin,{(к#
