index,answer,prediction,correct
0,Back to School,Васк +о Яс^оо},False
1,ABCDEFGHI JKLMNOPQR STUVWXYZ 1234567890,АВФ.Е@@[ Ш1Ъ{М@Р@В 'т  ж 2 1234567890,False
2,Progimp.ru,Рго:ёшр <ч,False
3,я школу!,Ъ [,False
4,С ДНЕМ ЗНАНИЙ!,С ФНЕМ ЗНАНИИ;,False
5,Pizza,"?22""",False
6,much wine?,"""'&Ё? 'ф",False
7,back to chool!,1о ~СНООЦ {ВАСК,False
8,APRiL IS CHiLD ABUSE PREVENTION MONTH,;Р?Ц /5 (ЦЦ АВ&ЯЕ РРЕПШЯШПН,False
9,"ПРАВИЛА 
 НАШЕЙ 
 СЕМЬИ",ПРАВИИА ВВШШ,False
10,"what does your free look like? Decorate the christmas 
 free witch crayola crayons, markers, and glitter glue","[}а' 8о6з уачг #о ^ф4 Пр? Гесагпее [ъ С4п:п@в 'гевч €/ыю  <атапз_шащвг: #я,шы аце",False
11,5Б/8 ул. Некрасова,5Ш !Л [ЮШИСОВА,False
12,Преображенский храм,^9 Штот Преокр женскпй Храм тв 5,False
13,12 ОЛЬХОВАЯ,12 ОЛЬХОВАЯ,True
14,пр. Чайковского 31а,др Чайковского 31а,False
15,средняя школа 20,#419) ШД:,False
16,22-20,,False
17,belgoro,ва!@ок9,False
18,61,[,False
19,улица Полевая 35,улица Полевая 35,True
20,У меня только две проблемы- нечего надеть и маленький шкаф,МЕНЯ ТОЛЬКО АВЕ ПРОБАЕМЫ- НЕЧЕГО НАДЕТЬ МААЕНЬКИЙ ШКАФ,False
21,улица набережная 28,Ш `е  1 1 Амкун ё 9 (,False
22,машук 2016,МАШУК 2016,True
23,Целебный источник,ШЕшиеп,False
24,Catrix  8(499)657 90 48 catrix.ru,(а+' сап 64 7 тысаунэ 38499} 65,False
25,озерная  13,63,False
26,управление промышленного компле и природопользования администрации ракитянского райо,Роп-омышы ~оэъ пРнРодо лъзовннут АДМИНИСТРАцИИ ЗАКИТЯНСКОГО РАЙЫ',False
27,DESTROY,@ЁЗТ?О},False
28,БЕЛГОРОД ХАРЬКОВ,БЕЛГОРОД ХАРЬКОВ ЕГСО ТО:₽ ГОЛОКИНСИЕ Пнн (ИЕЕСт&,False
29,28 привольная,28 ПРИВОлЬАя А+о,False
30,БИБЛИОТЕЧНАЯ ЖИЗНЬ БЕЛГОРОДЧИНЫ,КЕЕЛРРПМНАЕ АЧАЕ ппчяы,False
31,улица СПАРТАК 10-А,Рул # ЦА СПАРТАК 10А,False
32,Фабрика Рекламы 8-962-307-01-01,Фабрика Рекламы [? 8-962-307-01-От,False
33,домовые таблички.рф,ппмппыа,False
34,Бел ИРО,ш_ 1 БРЛХИРО [эшех; ₽>я-шаш Еаттэ/МЕХтэрИ РФ ышз @ч[лиы Тыы ~епрре т,False
35,ОТКР ОР,"м47п Тепяч:нтлагэцныанэъуа ~кыплы ны1 # пмчсраишя ы10гп нтеем [1-шл] ОТКР ?я,1. ягачыра - Им ?} 7шч ы г]:7 ""сн & . г агар - тианг_-р ОРН тт пыныршъ4ла 1ы-",False
36,производство бегущих строк,ПРОИЗВОДСТВО БЕГЖИХ СТРОК,False
37,улица З.Биишевой 13,3. БийшЕвой  13,False
38,МОБИЛЬНОЕ ПРИЛОЖЕНИЕ ДЛЯ СМАРТФОНОВ НЕТ СВЕТА,МОБИЛЬНОЕ ПРИПОЖЕНИЕ #Етан ДЛЯ СМАРТООНОВ ~НЕГ СВЕТАЛ,False
39,переулок ЗАБАЛКОВСКИЙ 1,[е ~^` ЗАБАЛКОВСКИЙ п е р еул о к 2,False
40,36,36,True
41,РЕКЛАМНОЕ АГЕНТСТВО ПРИОРИТЕ световые короба от 8 500р. м,АГЕНТЕТЕО ПРИПРИТВ световые короба 8 50бр: м' РЕКПАМНЕЕ,False
42,правильное расположение тактильной таблички,Е} ЕПЕПа-ЕНЕТЫТИЫПНаНТЧБПН ГЦ,False
43,8 - я ЛИНИЯ 143,88-я линия,False
44,ДЗГОЕВ ФЕДОР СТЕПАНОВИЧ,"ДЗГОЕВ ФЕДОР СТЕПАНОВИЧ КоыиуР 12 5лад9 5/5 ₽ срэтЕаяЕмшндетии#л ПЕаЕтада #ашосая енн= ~51Ешн  Длилело Шъ_ гЕл:г лппр 5ВЗм зпыгшно Шити %пыа 7о % Рли- #шам Елттапр , ,, ыос Пэлн",False
45,"30 
 1223",30 1223,True
46,Денежный поток,[ПеП уи (?? [*.,False
47,КОРАЛЛОВАЯ 18 УЛИЦА,КОРАЛЛОВАЯ 18 5,False
48,"Петрова 
 Ирина 
 Васильевна 
 12.03.1898 - 14.05.1973",Петоова Ирина ВаснАьевна 12.03.1898-14.05.1973,False
49,2А УЛИЦА ИГНАТЬЕВСКАЯ,24' УЛИЦА (дтмшвсуу,False
50,ТРУДЫ ПО ЕВРЕЙСКОЙ ИСТОРИИ И КУЛЬТУРЕ,"итгенкшшн нчаанни Ет,ыи #т амь;иъцткатяиг иън.эпн_пшпки шъины",False
51,ТЕХНОЛОГИИ ТУРИСТСКОЙ ДЕЯТЕЛЬНОСТИ: СОСТОЯНИЕ И ПЕРСПЕКТИВЫ РАЗВИТИЯ,згснач сп:Ч технапатин 1Уеи]ЕтаипЕн]ЧпАнаги СОСТОяН{Еи ПЕРСПЕкТИВЫ НД_н|ян аиалвмн,False
52,Сергей Орлов,Сереей Орлов,False
53,СИЛА ЦВЕТА' МОСКВА,СИЛА ЦВЕТА' МОСКВА,True
54,бомбезная кепка,БШШЮИ,False
55,росгвардия,[ЮШВД,False
56,ПРОМ ПЕЧАТЬ,Ш?ЫМ ПЕЧАТЬ,False
57,СВОЙ ДИЗАЙН,(ВОЙ ЩМ,False
58,ВЫШЕ НОС КУСОК МЯСА!,ППС,False
59,TopCAR,"ЮЁ(& ,кфвшвмела е",False
60,Shut up and FISH!,сШДФь [[5Щ,False
61,logo,[о9о,False
62,SENDAYS BEST,"4 МБ41""",False
63,GRL PWR,@,False
64,go,к [с?,False
65,"Mr. 
 Cards",{Мт: Сагф,False
66,T-Rex is BEST,1 Т-8ех 8Е$Т!,False
67,Stale,(Зюю;,False
68,SHERIFF,@ЕВ,False
69,I WAS BORN TO FLY,,False
70,ANKER,[8КЕ@,False
71,ХочуПива,Ж(ЧУбо,False
72,CRUSH ON YOU,0& СРЫЗН ?О.,False
73,REDNECK RAMPAGE,[[Р5сАЕ,False
74,ALENCIAGA,ИЕМЕТА:А,False
75,"YORK 
 08",Ы 09 'Я8,False
76,СБУ,СБУ,True
77,031НШЕ,(ШЩ,False
78,"OF CITY 
 STON",{10М,False
79,RAP,[ВА;,False
80,YOUTH,"""ошт""",False
81,PUmA,{ШИ},False
82,ASICS TIGER,@1С [,False
83,adidas,"(ы"" Кл ~фф@з",False
84,NIKE,,False
85,Vans,[.$,False
86,day, ос ?,False
87,RAINE,,False
88,ТРЕЗВЫЙ И БЕЗ ДЕНЕГ,ТРЕЗВЫИ и БЕЗ ДЕНЕГ,False
89,ЛУКОЙЛ,лухойл,False
90,DIMA 29,954,False
91,LET'S PLAY,{4у,False
92,KIDS,"""08",False
93,"tephen Ki Book Signing day, November 11th at 6","{ер<еп к"" Воок $191 9 Зау ^очеЬег 116 а 6",False
94,FBI,(В1,False
95,simple trin,Ш,False
96,TAJIMA,шлии,False
97,Шарден дом вкуса,3 {ОМ' Шорден ВКУСА,False
98,Мой .рф,Пой рф П ппв & 5,False
99,Jack Wolfskin,{(к#,False
100,ДИЗАЙН ВЫВЕСКИ,ДИЗАЙН ВЫВЕСКИ,True
101,PANDORA,РАЛ)О@А,False
102,ПРОДУК,ПРОЦУК,False
103,"PIZZERSA 
 Z 
 HOLLE",но,False
104,ОЛИМП,@4имп,False
105,САМОВАРЪ,САЫОВАРЪ,False
106,GRAFF G MEDIA,сА# ИФОИ,False
107,SHOP,"""#О2",False
108,PIZZA,РЗА ИЯЪЦ,False
109,M,,False
