index,answer,prediction
0,"Щукин
лемех",Щукин ^еМеХ
1,марля,[
2,"влюбленный
женский",влювлЕнный жвнский
3,норвежец,ЮрВЮОЩ
4,"Никонова
хлев ствол
Енисей",Нчконоса хлез спЗол Енчсей
5,переезжать,(@реезжагь
6,девятый,5 девятый
7,добреть,Чобреть
8,верея-,Верея-
9,цикл,ЦИКЛ
10,"гнедой 11478 кузовной
минералогия ознакомиться
авеню Карцев Гулиев дубляж
воодушевиться нищий",педой 11478 кузовной миералопия ОзНакОмИГЬСЯ авен Карцев Гулиев дубляж воодушевигься #щий
11,ванна,4
12,провинциальный,провииакьй
13,"кариес Ладога
Меренков априори  ,
кислый кинодраматург
сценарный сенной  )",КАРИЕС   ЛАДОГА МЕРЕНКОВ АПРИОРИ КИСЛЫЙ КИНОДРАМАТУРГ СЦЕНАРНЫЙ СЕННОЙ
14,"сапа вот-вот
пуговица","с<,и 8ой 8 ой 47з08 и/а"
15,parent,2аге/4
16,Суздалев,СУЗДАЛЕВ
17,"лабаз достоверно
провидец
бесшовный",лабаз досшоверно провч@ец бесшовный аев
18,Крикунова(,СО.: 4087( Крчку}
19,"опыт
Есипов
Куница",ОПЫТ КВ Кунища
20,экспансивный(,ЭКСПаНСНВНЫЙ
21,Манчестер),Манчеспер)
22,иголочка восстанавливать,нголочка восстанавливать
23,"Закавказье
Хвойницкий",Закавказье Хвойницкий
24,пролетариат,)
25,заметно стирать!,заметно стирать!
26,"мудрствовать редчайший
подборка роно
погубить стемнеть
89212 тол
раскритиковать","',5 1 ' ; ` , Е: ,  4: Та лынс2а ш26"
27,Шипов,Шипо?`
28,"9399691431
продувной",ЧЕ94 прадуВнпй
29,"ляжка
сорный
сшибка",ляжка сорнй сшибка
30,Франциск,Францио
31,9142591539,9142891539
32,"протока
попа
взлетать",ПРОТОКА пОп ВЗЛЕТАТЬ 5ч ч чъа шчч ч € !
33,60251,60251
34,доблестный,Ооблесшны'
35,Шкляров,Шкляроб
