index,answer,prediction,correct
0,Back to School,Back to School,True
1,ABCDEFGHI JKLMNOPQR STUVWXYZ 1234567890,ABCDEFGHI JKLMNOPOR STUVWXYZ 1234567890,False
2,Progimp.ru,Progimp.ru,True
3,я школу!,UKOJM,False
4,С ДНЕМ ЗНАНИЙ!,CDHEM 3HAHWW!,False
5,Pizza,Pizza ,True
6,much wine?,much WINE?,True
7,back to chool!,BACK TO SCHOOL!,False
8,APRiL IS CHiLD ABUSE PREVENTION MONTH,米 APRILIS CHiLD ABUSE PREVENTION MONTH 米,False
9,"ПРАВИЛА 
 НАШЕЙ 
 СЕМЬИ",DIPABMAA HADER CEMbH,False
10,"what does your free look like? Decorate the christmas 
 free witch crayola crayons, markers, and glitter glue","treewithCrayolacrayons,markers,andglitterglue What doesyour treelookBke?Decorate the Christmas",False
11,5Б/8 ул. Некрасова,5/8 yn. HEKDACOBA,False
12,Преображенский храм,A5 P MackoccanIlerpaoxnr PttLanHlaana uanllegkonh HlpeOkpaKeHCKH XpaM,False
13,12 ОЛЬХОВАЯ,12 OnbXOBAA,False
14,пр. Чайковского 31а,np.yaMKoBcKoro 31a,False
15,средняя школа 20,HFEAHOIKOA NE20,False
16,22-20,Gemle Bngotes 22-20,False
17,belgoro,BELGOR,False
18,61,61,True
19,улица Полевая 35,HoIeBaa yJHna 35,False
20,У меня только две проблемы- нечего надеть и маленький шкаф,YMEHTOAbKO ABE IPOBAEMbI- HEUErO HAAETb W MAAEHbKVY LLIKAP,False
21,улица набережная 28,JIH 28元,False
22,машук 2016,MAIIYK 2016,False
23,Целебный источник,a,False
24,Catrix  8(499)657 90 48 catrix.ru,Carti 8（499)6479048-cartix.ru paCxo at,False
25,озерная  13,039p449 Bavua Alacrep,False
26,управление промышленного компле и природопользования администрации ракитянского райо,eh证 KOMIJIEK IPHPOnOHON63OBAHWA AAMMHWCTPALWW PAKMTAHCKOT PAWOH,False
27,DESTROY,DESTROY,True
28,БЕЛГОРОД ХАРЬКОВ,BEnrOPO → XAPbKOB 6P0000P rOnOBKHCKDE XOTHEXORCTB OoL,False
29,28 привольная,28 HPHBOJDHAA Avito,False
30,БИБЛИОТЕЧНАЯ ЖИЗНЬ БЕЛГОРОДЧИНЫ,GMEIROTEUHAEXHHN GEIOTOTNMMI B.s Slo,False
31,улица СПАРТАК 10-А,APTAK CII,False
32,Фабрика Рекламы 8-962-307-01-01,BMHHO. 中a6pukaPeknaMb 8-962-307-01-01,False
33,домовые таблички.рф,nOMOBble,False
34,Бел ИРО,BenvPo HnNTampoeneHgperoamHoroTama BcepoccHotcKDeoKoHxypcaMeTOx DeaRHSsLEHkFpurPEMNb,False
35,ОТКР ОР,"OTKP HaGHTan H CH oC N ""OTKPSTO3ASPbTOayTpn  1 Ap:0421030 rpoanmtkoco""Ato COTERaIDTDrOHEN.  Aao:141500.ocon.r.an yn3A OO0.+-51-T3 OPI",False
36,производство бегущих строк,nPOM3BOACTBO GEryLNXCTPOK,False
37,улица З.Биишевой 13,YAHUA 13 3.BHNIEBON,False
38,МОБИЛЬНОЕ ПРИЛОЖЕНИЕ ДЛЯ СМАРТФОНОВ НЕТ СВЕТА,PCETW MOSMNbHOENPNNOKEHNE POCCET CMAPTOHOB《HETCBETA HETCILLA PTIPHCR,False
39,переулок ЗАБАЛКОВСКИЙ 1,,False
40,36,36,True
41,РЕКЛАМНОЕ АГЕНТСТВО ПРИОРИТЕ световые короба от 8 500р. м,PEKNIAMHOEArEHTCTBO NPVOPVTE CBeTOBble KOpo6a 8 500 OT P.M,False
42,правильное расположение тактильной таблички,"1.2-1,6  DPABW-HOEPACIONOREHMETAKTMNBHORTAENMNK",False
43,8 - я ЛИНИЯ 143, J 143,False
44,ДЗГОЕВ ФЕДОР СТЕПАНОВИЧ,A3rOEB 中ENOPCTENAHOBMY Ko 1243375- bonroponOTeLD-中auNoTooo CFDRKCAOAAMBH3HACOOOOKRN P9cH Bnagansna610 aoryea 1911COT 1843rnpo cnn Xapbcon npon pco.C 211955 BaroeBs. Ke,False
45,"30 
 1223",30 1223,True
46,Денежный поток,yayeAen FnSF YRY JeHenotok FFF,False
47,КОРАЛЛОВАЯ 18 УЛИЦА,KOPANNOBAA 18 V 三 gde,False
48,"Петрова 
 Ирина 
 Васильевна 
 12.03.1898 - 14.05.1973",HeTooBa HoHHa BacHAbEBHa 12.03.1898-14.05.1973,False
49,2А УЛИЦА ИГНАТЬЕВСКАЯ,2A yANUA GKAA X,False
50,ТРУДЫ ПО ЕВРЕЙСКОЙ ИСТОРИИ И КУЛЬТУРЕ,BD TPYAHI IIO EEPEICOMCTOPHM HKYAbTyPE MaTaAMXXTlIMeKAsPuHo eseroAnotxoegepeiuprd Do HyAaKe Burrcx 54 2117,False
51,ТЕХНОЛОГИИ ТУРИСТСКОЙ ДЕЯТЕЛЬНОСТИ: СОСТОЯНИЕ И ПЕРСПЕКТИВЫ РАЗВИТИЯ,TEXHONOFMN TYPNCTCKOMAEATENbHOCTN: PA3BMTMA COCTORHMEMDEPCDEKTMBB CMONEHCK.2017,False
52,Сергей Орлов,Cepzei Opio8,False
53,СИЛА ЦВЕТА' МОСКВА,CHNA LIBETA' MOCKBA,False
54,бомбезная кепка,RENKA 6OMGE3HAR,False
55,росгвардия,POCrBAPAMA,False
56,ПРОМ ПЕЧАТЬ,IPOM D nEYATb,False
57,СВОЙ ДИЗАЙН,CBOn QM3AIH,False
58,ВЫШЕ НОС КУСОК МЯСА!,MACA!,False
59,TopCAR,ToptOar,False
60,Shut up and FISH!,CHUTUR FISH,False
61,logo,logo,True
62,SENDAYS BEST,SONDAYS 口 BEST,False
63,GRL PWR,GRLM PWR,False
64,go,k Sigo,False
65,"Mr. 
 Cards",AMr. Cards,False
66,T-Rex is BEST,T-Rex 16 BEST!,False
67,Stale,YRIATION oeae,False
68,SHERIFF,SHERIFF,True
69,I WAS BORN TO FLY,,False
70,ANKER,BANKER,False
71,ХочуПива,KeryTula,False
72,CRUSH ON YOU,CRUSH ON YOU,True
73,REDNECK RAMPAGE,REDNECK RAMPAGE,True
74,ALENCIAGA,MLENCIAGA,False
75,"YORK 
 08",CNI YORUK 08,False
76,СБУ,c6y,False
77,031НШЕ,03IHLIE,False
78,"OF CITY 
 STON",STON,False
79,RAP,RAP,True
80,YOUTH,VOUTH,False
81,PUmA,pumA,True
82,ASICS TIGER,NE,False
83,adidas,,False
84,NIKE,,False
85,Vans,心  VANS,False
86,day,Foday,False
87,RAINE,CKRAINE,False
