index,answer,prediction,correct
0,Back to School,Back to School,True
1,ABCDEFGHI JKLMNOPQR STUVWXYZ 1234567890,ABCDEFGHI JKLMNOPQR STUVWXYZ 1234567890,True
2,Progimp.ru,Progimp.ru,True
3,я школу!,WKou,False
4,С ДНЕМ ЗНАНИЙ!,CDHEM 3HАНИЙ!,False
5,Pizza,Pizza 8,False
6,much wine?,much WINE?,True
7,back to chool!,BACK TO SCHOOL!,False
8,APRiL IS CHiLD ABUSE PREVENTION MONTH,* APRIL IS CHiLD ABUSE PREVENTION MONTH *,False
9,"ПРАВИЛА 
 НАШЕЙ 
 СЕМЬИ",ПРАВИЛА HAШЕЙ СЕМЬИ,False
10,"what does your free look like? Decorate the christmas 
 free witch crayola crayons, markers, and glitter glue","tree with Crayolo@ crayons, markers, and glitter glue. What does your tree look like? Decorate the Christmas",False
11,5Б/8 ул. Некрасова,5/8 yn. HEKPACOBA,False
12,Преображенский храм,95 2 Macoccn 1arptappt Pytccaclpand an 1epkoh Преокраженский храм,False
13,12 ОЛЬХОВАЯ,12 ОЛЬХОВАЯ,True
14,пр. Чайковского 31а,пр.Чайковского 31a,False
15,средняя школа 20,ЕД ЦКА 1Е2О,False
16,22-20,Conla Brgatae 22-20,False
17,belgoro,BELGOR,False
18,61,61,True
19,улица Полевая 35,Полевая улица 35,False
20,У меня только две проблемы- нечего надеть и маленький шкаф,УМЕНЯ ТОЛЬКО ДВЕ ПРОБЛЕМЫ- HEЧEГO НАДЕТЬ И МАЛЕНЬКИЙ ШКАФ,False
21,улица набережная 28,ЛИ 28,False
22,машук 2016,МАШУК 2016,True
23,Целебный источник,CMP,False
24,Catrix  8(499)657 90 48 catrix.ru,Carti 8 (499) 647 90 48 - cartix.ru расходные материнлы для оретснми,False
25,озерная  13,030p49 Raлa Macrep,False
26,управление промышленного компле и природопользования администрации ракитянского райо, KOMTIEK ПРИРОДОПОЛЬЗОВАНИЯ АДМИНИСТРАЦИИ АКИТЯНСКОТ PAЙO,False
27,DESTROY,DESTROY,True
28,БЕЛГОРОД ХАРЬКОВ,БЕЛГОРОД → ХАРЬКОВ 6P0000P ФОЛОВИНСКОЕ ХОТНИЧЬЕ ХООЯЙСТВО 0,False
29,28 привольная,28 ПРИВОЛЬНАЯ Avito,False
30,БИБЛИОТЕЧНАЯ ЖИЗНЬ БЕЛГОРОДЧИНЫ,БИЕЛИОТЕЧНАЯ ЖИУИЬ БЕЛГОРОДЧИНЫ Bmm.209 =1,False
31,улица СПАРТАК 10-А,APTAK CП,False
32,Фабрика Рекламы 8-962-307-01-01,CИHHИ Фабрика Рекламы 8-962-307-01-01,False
33,домовые таблички.рф,домовые,False
34,Бел ИРО,БелиРо Из опыта проведрния регионального этата всероссийского канкурсяметодик реализации програмны,False
35,ОТКР ОР,"OTKP Намаание: Табличс на встенннй осое Nе ОТКРЫТОЗАКРЫТО*ДВУпОРОННя Мeь4 1042) Apтwyn: 049221030 Пронавадитель О0О ""Ато 273W210708704M. MAR207 Aдр0c: 141800, Woско0сая oбn.,г. Тапом. уп. Загородная. д 1А. Пастцк: 000 1ерко"" тл. +745р781-51-72 OPI",False
36,производство бегущих строк,ПРОИЗВОДСТВО БЕГУЩИХ СТРОК,True
37,улица З.Биишевой 13,УННЦА 13 3. БИЙШЕВОЙ,False
38,МОБИЛЬНОЕ ПРИЛОЖЕНИЕ ДЛЯ СМАРТФОНОВ НЕТ СВЕТА,POCCETH МОБИЛЬНОЕ ПРИЛОЖЕНИЕ PECCETH ДЛЯ СМАРТФОНОВ «НЕТ СВЕТА» HETCECA 30C2979 4224C,False
39,переулок ЗАБАЛКОВСКИЙ 1,,False
40,36,36,True
41,РЕКЛАМНОЕ АГЕНТСТВО ПРИОРИТЕ световые короба от 8 500р. м,РЕКПАМНОЕ АГЕНТСТВО ПРИОРИТЕ световые короба 8 500 OT p.m,False
42,правильное расположение тактильной таблички,1.21.6m ПРАВИЛЬНОЕ РАСПОЛОЖЕНИЕ ТАКТИЛЬНОЙТАБЛИЧКИ,False
43,8 - я ЛИНИЯ 143,8-яЛИНИя 143,True
44,ДЗГОЕВ ФЕДОР СТЕПАНОВИЧ,ДЗГОЕВ ФЕДОРСТЕПАНОВИЧ Командир 1243 полкв 375-й :Бопгород отмемецо-фашиотоех стрековой дивкани оовобаждал зоватнов Родился 9 сенткря <Владивк Пагнб 10 вогусто 1911 годя в Сярной Ооети 1843 под в районе сeла Питд Харыовской области. Еапторода прнсвоено иие Ф.С. 21 впретя 1965 года упмце Дагоева. ,False
45,"30 
 1223",30 1223,True
46,Денежный поток,Нуy е д FNF YRY Денежний поток FFF,False
47,КОРАЛЛОВАЯ 18 УЛИЦА,КОРАЛЛОВАЯ 18 И 1 gde,False
48,"Петрова 
 Ирина 
 Васильевна 
 12.03.1898 - 14.05.1973",Петрова ИpuHa BachьeBHa 12.03.1898-14.05.1973,False
49,2А УЛИЦА ИГНАТЬЕВСКАЯ,2A УНУЦА CKAA X,False
50,ТРУДЫ ПО ЕВРЕЙСКОЙ ИСТОРИИ И КУЛЬТУРЕ,7B0 ТРУДЫ ПО ЕЕРЕЙСКОЙ ИСТОРИИ И КУЛЬТУРЕ Матриамы ХХИМежунроцно ееголной конференрои nо иуданке Barpcx 54 2017,False
51,ТЕХНОЛОГИИ ТУРИСТСКОЙ ДЕЯТЕЛЬНОСТИ: СОСТОЯНИЕ И ПЕРСПЕКТИВЫ РАЗВИТИЯ,ТЕХНОЛОГИИ ТУРИСТСКОЙ ДЕЯТЕЛЬНОСТИ: РАЗВИТИЯ СОСТОЯНИЕ И ПЕРСПЕКТИВЫ СMОПЕНCK2017,False
52,Сергей Орлов,Сергей Орлов,True
53,СИЛА ЦВЕТА' МОСКВА,СИЛА ЦВЕТА MOCKBA,False
54,бомбезная кепка,KЕПКА БОМБЕЗНАЯ,False
55,росгвардия,РOСГВАРДИЯ,False
56,ПРОМ ПЕЧАТЬ,ПРОМ ЭПЕЧАТЬ,False
57,СВОЙ ДИЗАЙН,CBOЙ ДИЗАЙН,False
58,ВЫШЕ НОС КУСОК МЯСА!,MACA!,False
59,TopCAR,TopCar,True
60,Shut up and FISH!,SHUTUR FASH,False
61,logo,logo,True
62,SENDAYS BEST,SONDAYP  BEST,False
63,GRL PWR,GPLW PWR,False
64,go,ki Jngo,False
65,"Mr. 
 Cards",Mr. Cards,True
66,T-Rex is BEST,T-Rex i6 BEST!,False
67,Stale,YRIATION Dba,False
68,SHERIFF,SHERIFF,True
69,I WAS BORN TO FLY,,False
70,ANKER,ANKER,True
71,ХочуПива,ЗoryTuвa,False
72,CRUSH ON YOU,CRUSH ON YOU,True
73,REDNECK RAMPAGE,HEDNECK RAMPAGE,False
74,ALENCIAGA,MALENCIAGA,False
75,"YORK 
 08",ON YORUK 08,False
76,СБУ,С6У,False
77,031НШЕ,3IHWE,False
78,"OF CITY 
 STON",STON,False
79,RAP,RAP,True
80,YOUTH,YOUTH,True
81,PUmA,PWMA,False
82,ASICS TIGER,,False
83,adidas,,False
84,NIKE,,False
85,Vans,  VANS,True
86,day,today,False
87,RAINE,KRAINE,False
88,ТРЕЗВЫЙ И БЕЗ ДЕНЕГ,ТРЕЗВЫЙ И 6E3 ДЕНЕГ,False
89,ЛУКОЙЛ,UK ЛУКОЙЛ,False
90,DIMA 29,DIMA 29,True
91,LET'S PLAY,AYY,False
92,KIDS,KIDS IF,False
93,"tephen Ki Book Signing day, November 11th at 6","tephen Кт STES Book Signing day, November 11th at 6",False
94,FBI,FBI,True
95,simple trin,,False
96,TAJIMA,TAJIMA  ти,False
97,Шарден дом вкуса, O Шарден  ДОМВКУСА,False
98,Мой .рф,Мой ME,False
99,Jack Wolfskin,Jack Wolfskin,True
100,ДИЗАЙН ВЫВЕСКИ,ДИЗАЙН ВЫВЕСКИ,True
101,PANDORA,PANDORA,True
102,ПРОДУК,ПРОДУК,True
103,"PIZZERSA 
 Z 
 HOLLE",PZZERTA HOLLE,False
104,ОЛИМП,ОЛИМП,True
105,САМОВАРЪ,САМОВАРЬ,False
106,GRAFF G MEDIA,GRAFF MEDIA,False
107,SHOP,SHOP,True
108,PIZZA,PIZZA VS,False
109,M,M,True
110,этисэль САЛОН КРАСОТЫ этисэль САЛОН КРАСОТЫ этисэль,ЭМИСЭЛСАЛОН КРАСОТЫ ЭМИСЭМ САЛОН КРАСОТЫЭМИСЭЛ,False
111,Перспектива ,CENTURYZ Перспектива,False
112,PARK,PARK ,True
113,ЭЛЕКТРО ПРОВОДКА,ЭЛЕКТРО ПРОВОДКА,True
114,HYUNDAI,HYUNDAI,True
115,Красное Бел,KpacHoe Бело,False
116,ФизКульт СЕТЬ ФИТНЕС КЛУБОВ,ФизКульт СЕТЬФИТНЕС КЛУБОВ,True
117,CH CH,CHI-CHI,False
118,MAMA DOMA товары для дома,DOMA MAMA товоры для домо,False
119,САЛОН КРАСОТЫ,САЛОН KPACOTЫ,False
120,Абсолют Банк,Абсолют Банк,True
121,"ГОСУДАРСТВЕННЫЙ 
 ДРАМАТИЧЕСКИЙ 
 ТЕАТР",ГОСУДАРСТВЕННЫЙ ДРАМАТИЧЕСКИЙ TEATP,False
122,OPEN,OPEN,True
123,"всЕзнайка 
 Дитяча студiя розвитку",,False
124,ЧАСОВАЯ МАСТЕРСКАЯ,ЧАСОВАЯ МАСТЕРСКAA Mpl Ral Crpl Ban Ctho,False
125,КНИГИ,HHNLS NGS24RU,False
126,ApiJo,ApiJo,True
127,ОБУВЬ,ОБУВЬ,True
128,Банк Клиентский,Банк Клиентский,True
129,-А,,False
130,PASCUCCI,PASCUCCI,True
131,ВЪЕЗД НЕ ЗАНИМАТЬ ШТРАФ 2 КОЛЕСА В ЧАС,ВЪЕЗД HE ЗАНИМАТЬ ШТРАФ 2 КОЛЕСА B ЧАС,False
132,Дореволюционные вывески в Москве,Дореволюционные вывески в Москве,True
133,"VANIL' 
 кофе булочка",VANIL кофе&булочка,False
134,ЕЙ ГНИ РМАРК,,False
135,ВЫВЕСКА ВЫВЕСКА,0 015= ВЫВЕСКА ВЫВЕСКА 160  li taw,False
