index,answer,prediction
0,"Щукин
лемех",Шукин лeMeх 
1,марля,марля 26
2,"влюбленный
женский",ВЛЮБЛЕННЫЙ ЖЕНСКИЙ
3,норвежец,HopBeжec
4,"Никонова
хлев ствол
Енисей",Никонова хлев ствол Енисей 0
5,переезжать,  S
6,девятый,девятый 
7,добреть,Добреть N
8,верея-, Берея-
9,цикл,ЦИКЛ
10,"гнедой 11478 кузовной
минералогия ознакомиться
авеню Карцев Гулиев дубляж
воодушевиться нищий",гнедой 11478 кУЗОВНОЙ минералогия ознакомиться Карцев Фyниев дубляж авеню воодушевиться НИЩИЙ
11,ванна,BAHHA
12,провинциальный,провинцисльный MI3H MT C
13,"кариес Ладога
Меренков априори  ,
кислый кинодраматург
сценарный сенной  )",КАРИЕС ЛАДОГА  МЕPЕHKOB АПРИОРИ КИСЛЫЙ КИНОДРАМАТУРГ СЦЕНАРНЫЙ СЕННОЙ
14,"сапа вот-вот
пуговица",cana bom-bom nуговуца 
15,parent,parent
16,Суздалев,
17,"лабаз достоверно
провидец
бесшовный",лабаз достоверно провидец бесшовный HAGAKURE V
18,Крикунова(,Крикунова CODE
19,"опыт
Есипов
Куница", ОПЫТ Есипов Куница A
20,экспансивный(,экспансивный(
21,Манчестер),Манчестер) 
22,иголочка восстанавливать,2 нголочка восстанавливать
23,"Закавказье
Хвойницкий",X X Закавказье Хвойницкий
24,пролетариат,
25,заметно стирать!,заметно стирать!
26,"мудрствовать редчайший
подборка роно
погубить стемнеть
89212 тол
раскритиковать",TOKOMO
27,Шипов,ШНПОВ 
28,"9399691431
продувной",9399691431 продувной
29,"ляжка
сорный
сшибка",ляжка сорный сшибка
30,Франциск, 2 : V
31,9142591539,9142591539
32,"протока
попа
взлетать",   ПРОТОКА ПОПА ВЗЛЕТАТЬ 
33,60251,-  60251
34,доблестный, доблестный
35,Шкляров,Шкляров
36,"шиться
87025",ШИТЬСЯ 87025
37,СУБД, CYBD  ante A.C.CLAMEDNGHOICT
38,увеселительный,увеселительный
39,корифей,корифей
40,"диоксид
темно
47381
запасти .
седалище", диоксид темно 47381 запасти sедалище
41,Юлдашева,Юлдашева
42,Рябцева),РЯБЦЕВА)   CL STORIES
43,"Кудревич
булькать",     6   Кудревич булькать
44,"делец
Семко",делец Ceмko 
45,"smile
круг",ΓAG SMILE KPYГ 2 
46,"Хватов;
тостер",Хватов; Tоcтеp ECKCA ASLS FAESOUM LIMPINA 
47,"горький Зимин
наградить 9307300401", горький 3имн 9307300401 наградить
48,Костевич,Костевич
49,калым,КАЛЫМ
50,посланец,посланец 
51,"прогреметь
шелкопряд
гадский",прогреметь шелкопряд гадский  CI
52,салфетка.,салфетка.
53,"ride
little",ride little  OOo
54,"Ломов Желтова
нахрапистый крупица
Руденя 9947989816
Гончаревич идиллия",Ломов елтова нахрапистый крупица Руденя 9947989816 ФоH4аpeBи4 ИД ИЛЛИЯ
