index,answer,prediction,correct
0,"Щукин
лемех",Шукин лeMeх ,False
1,марля,марля 26,False
2,"влюбленный
женский",ВЛЮБЛЕННЫЙ ЖЕНСКИЙ,True
3,норвежец,HopBeжec,False
4,"Никонова
хлев ствол
Енисей",Никонова хлев ствол Енисей 0,False
5,переезжать,  S,False
6,девятый,девятый ,True
7,добреть,Добреть N,False
8,верея-, Берея-,False
9,цикл,ЦИКЛ,True
10,"гнедой 11478 кузовной
минералогия ознакомиться
авеню Карцев Гулиев дубляж
воодушевиться нищий",гнедой 11478 кУЗОВНОЙ минералогия ознакомиться Карцев Фyниев дубляж авеню воодушевиться НИЩИЙ,False
11,ванна,BAHHA,False
12,провинциальный,провинцисльный MI3H MT C,False
13,"кариес Ладога
Меренков априори  ,
кислый кинодраматург
сценарный сенной  )",КАРИЕС ЛАДОГА  МЕPЕHKOB АПРИОРИ КИСЛЫЙ КИНОДРАМАТУРГ СЦЕНАРНЫЙ СЕННОЙ,False
14,"сапа вот-вот
пуговица",cana bom-bom nуговуца ,False
15,parent,parent,True
16,Суздалев,,False
17,"лабаз достоверно
провидец
бесшовный",лабаз достоверно провидец бесшовный HAGAKURE V,False
18,Крикунова(,Крикунова CODE,False
19,"опыт
Есипов
Куница", ОПЫТ Есипов Куница A,False
20,экспансивный(,экспансивный(,True
21,Манчестер),Манчестер) ,True
22,иголочка восстанавливать,2 нголочка восстанавливать,False
23,"Закавказье
Хвойницкий",X X Закавказье Хвойницкий,False
24,пролетариат,,False
25,заметно стирать!,заметно стирать!,True
26,"мудрствовать редчайший
подборка роно
погубить стемнеть
89212 тол
раскритиковать",TOKOMO,False
27,Шипов,ШНПОВ ,False
28,"9399691431
продувной",9399691431 продувной,True
29,"ляжка
сорный
сшибка",ляжка сорный сшибка,True
30,Франциск, 2 : V,False
31,9142591539,9142591539,True
32,"протока
попа
взлетать",   ПРОТОКА ПОПА ВЗЛЕТАТЬ ,True
33,60251,-  60251,False
34,доблестный, доблестный,True
35,Шкляров,Шкляров,True
36,"шиться
87025",ШИТЬСЯ 87025,True
37,СУБД, CYBD  ante A.C.CLAMEDNGHOICT,False
38,увеселительный,увеселительный,True
39,корифей,корифей,True
40,"диоксид
темно
47381
запасти .
седалище", диоксид темно 47381 запасти sедалище,False
41,Юлдашева,Юлдашева,True
42,Рябцева),РЯБЦЕВА)   CL STORIES,False
43,"Кудревич
булькать",     6   Кудревич булькать,False
44,"делец
Семко",делец Ceмko ,False
45,"smile
круг",ΓAG SMILE KPYГ 2 ,False
46,"Хватов;
тостер",Хватов; Tоcтеp ECKCA ASLS FAESOUM LIMPINA ,False
47,"горький Зимин
наградить 9307300401", горький 3имн 9307300401 наградить,False
48,Костевич,Костевич,True
49,калым,КАЛЫМ,True
50,посланец,посланец ,True
51,"прогреметь
шелкопряд
гадский",прогреметь шелкопряд гадский  CI,False
52,салфетка.,салфетка.,True
53,"ride
little",ride little  OOo,False
54,"Ломов Желтова
нахрапистый крупица
Руденя 9947989816
Гончаревич идиллия",Ломов елтова нахрапистый крупица Руденя 9947989816 ФоH4аpeBи4 ИД ИЛЛИЯ,False
55,"икона
ожог",икона ожог ,True
56,отвыкать,отвыкать  ,True
57,"всплывать    )
монарх Бобров
похоронка Басенко",) всплывать Бобров монарх похоронка Басеnко,False
58,кок Мирошник,u  KOK Мирошник,False
59,дискуссия,0 дискусоня,False
60,кабачок,RUA MM ME2  кабачок * * *,False
